   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17822    0.054    0.000    0.148    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:1887(__init__)
     3200    0.012    0.000    0.147    0.000 /usr/lib/python3.14/site-packages/matplotlib/lines.py:1203(set_marker)
  298/263    0.008    0.000    0.145    0.001 /usr/lib/python3.14/site-packages/gi/module.py:117(__getattr__)
      601    0.001    0.000    0.144    0.000 /usr/lib/python3.14/site-packages/matplotlib/figure.py:1708(gca)
    67043    0.144    0.000    0.144    0.000 {method 'copy' of 'numpy.ndarray' objects}
    10646    0.020    0.000    0.143    0.000 /usr/lib/python3.14/site-packages/matplotlib/colors.py:224(is_color_like)
23319/23318    0.040    0.000    0.143    0.000 /usr/lib/python3.14/contextlib.py:145(__exit__)
      200    0.001    0.000    0.142    0.001 /usr/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:106(take)
     1402    0.014    0.000    0.141    0.000 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:2624(_process_unit_info)
      200    0.141    0.001    0.141    0.001 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.140    0.140 /usr/lib/python3.14/site-packages/matplotlib/figure.py:644(add_subplot)
        1    0.000    0.000    0.140    0.140 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:615(__init__)
      402    0.006    0.000    0.139    0.000 /usr/lib/python3.14/site-packages/matplotlib/font_manager.py:1293(findfont)
    10217    0.021    0.000    0.135    0.000 /usr/lib/python3.14/site-packages/matplotlib/colors.py:243(_check_color_like)
    44451    0.089    0.000    0.134    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:1770(__init__)
    50579    0.050    0.000    0.134    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:156(invalidate)
    11018    0.026    0.000    0.133    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:435(set_transform)
     8000    0.028    0.000    0.130    0.000 /usr/lib/python3.14/site-packages/matplotlib/markers.py:250(_recache)
        1    0.000    0.000    0.127    0.127 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:1(<module>)
    21588    0.090    0.000    0.126    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:2041(scale)
